HG01879;1:2:3:4:5
HG01880;6:7:8:9:10
HG01882;11:12:13:14:15
HG01883;16:17:18:19:20
HG01885;21:22:23:24:25
HG01886;26:27:28:29:30
HG01889;31:32:33:34:35
HG01890;36:37:38:39:40
HG01894;41:42:43:44:40
HG01896;45:46:13:14:47
HG01912;16:48:49:50:51
HG01914;52:53:54:34:55
HG01915;56:57:58:59:60
HG01956;61:62:63:64:65
HG01958;66:67:68:24:69
HG01986;70:17:18:14:15
HG01988;71:72:73:74:75
HG01989;76:77:18:34:78
HG01990;79:80:81:82:83
HG02009;84:85:73:86:87
HG02010;88:89:49:90:91
HG02012;92:93:94:95:96
HG02013;11:17:97:34:40
HG02014;98:72:73:34:99
HG02051;100:101:102:103:20
HG02052;104:105:106:19:107
HG02053;108:109:110:111:112
HG02054;41:113:114:115:91
HG02095;116:117:118:34:119
HG02107;120:121:122:123:124
HG02108;125:126:102:103:127
HG02111;128:77:54:90:129
HG02143;130:131:132:14:133
HG02144;134:135:136:137:138
HG02255;139:140:49:103:141
HG02281;142:143:73:144:145
HG02282;146:147:148:14:149
HG02283;150:151:49:152:153
HG02284;154:155:156:157:158
HG02307;159:22:18:160:161
HG02308;26:162:163:164:165
HG02309;166:167:73:168:169
HG02314;170:171:18:90:47
HG02315;170:172:173:174:20
HG02317;175:176:177:178:179
HG02322;180:77:102:64:181
HG02323;182:183:54:19:184
HG02325;185:186:54:187:188
HG02330;189:190:191:192:193
HG02332;194:77:18:195:196
HG02334;120:197:198:199:75
HG02337;200:171:18:168:47
HG02339;201:202:203:204:205
HG02343;185:206:207:34:40
HG02419;208:167:73:34:209
HG02420;210:211:212:213:214
HG02427;215:216:217:218:219
HG02429;220:221:148:222:223
HG02433;224:225:81:152:179
HG02436;16:226:49:19:20
HG02439;227:62:203:199:228
HG02442;229:167:73:195:196
HG02445;230:231:232:34:35
HG02449;233:234:235:14:47
HG02450;236:237:23:90:91
HG02455;79:238:239:4:112
HG02470;240:101:102:103:20
HG02471;241:242:136:144:145
HG02476;41:171:97:34:243
HG02477;244:245:246:82:83
HG02478;79:247:248:249:60
HG02479;220:221:148:222:223
HG02481;250:171:18:251:30
HG02485;252:253:254:164:255
HG02489;256:126:102:14:47
HG02496;257:258:259:187:260
HG02497;261:262:263:264:51
HG02501;201:265:266:267:268
HG02502;227:269:270:271:272
HG02505;273:274:102:275:276
HG02508;277:278:136:222:279
HG02536;280:281:282:283:284
HG02537;285:46:13:82:83
HG02541;286:171:18:287:288
HG02545;289:221:148:19:184
HG02549;290:291:28:64:65
HG02554;84:292:114:204:205
HG02555;293:294:73:295:296
HG02557;36:297:298:299:300
HG02558;301:302:303:199:304
HG02577;305:306:307:204:308
HG02580;98:258:259:309:112
NA19625;310:46:311:39:312
NA19700;313:314:3:315:316
NA19701;317:318:319:86:320
NA19703;201:321:322:323:324
NA19704;325:326:327:74:328
NA19707;329:330:331:332:333
NA19711;16:77:23:334:83
NA19712;335:234:235:86:336
NA19713;337:338:339:275:340
NA19818;341:342:343:344:129
NA19819;335:345:346:64:347
NA19834;220:348:349:115:350
NA19835;351:352:54:115:353
NA19900;354:355:217:90:91
NA19901;356:357:358:359:360
NA19904;361:362:363:103:364
NA19908;98:365:366:14:127
NA19909;61:57:58:59:367
NA19913;120:368:369:370:371
NA19914;372:262:18:82:83
NA19916;373:374:148:192:375
NA19917;376:377:217:222:378
NA19920;26:379:380:144:145
NA19921;381:382:13:383:384
NA19922;385:386:248:267:387
NA19923;41:206:248:103:388
NA19982;335:389:390:199:391
NA19984;392:393:394:103:47
NA19985;395:396:397:398:399
NA20126;16:400:401:187:347
NA20127;402:403:54:64:404
NA20274;405:406:38:407:408
NA20276;409:89:49:103:169
